date,location,daily_vaccinations_raw,daily_vaccinations,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_per_million,share_doses_used
2021-01-12,Alabama,NA,NA,78134,377025,70861,0.15,1.59,7270,1.44,7.69,NA,0.207
2021-01-13,Alabama,5906,5906,84040,378975,74792,0.19,1.71,9245,1.52,7.73,1205,0.222
2021-01-14,Alabama,8260,7083,92300,435350,80480,NA,1.88,NA,1.64,8.88,1445,0.212
2021-01-15,Alabama,8267,7478,100567,444650,86956,0.27,2.05,13488,1.77,9.07,1525,0.226
2021-01-16,Alabama,7557,7498,NA,NA,NA,NA,NA,NA,NA,NA,1529,NA
2021-01-17,Alabama,7557,7509,NA,NA,NA,NA,NA,NA,NA,NA,1531,NA
2021-01-18,Alabama,7557,7517,NA,NA,NA,NA,NA,NA,NA,NA,1533,NA
2021-01-19,Alabama,7557,7523,130795,444650,114319,0.33,2.67,16346,2.33,9.07,1534,0.294
2021-01-20,Alabama,8405,7880,139200,483275,121113,0.37,2.84,17956,2.47,9.86,1607,0.288
2021-01-21,Alabama,26719,10517,165919,493125,144429,0.43,3.38,21345,2.95,10.06,2145,0.336
2021-01-22,Alabama,33395,14107,199314,519525,174317,0.51,4.06,24840,3.56,10.6,2877,0.384
2021-01-23,Alabama,22226,16202,221540,521225,193955,0.56,4.52,27422,3.96,10.63,3304,0.425
2021-01-24,Alabama,22197,18294,243737,521225,213833,0.61,4.97,29736,4.36,10.63,3731,0.468
2021-01-25,Alabama,6875,18196,250612,521225,220464,0.61,5.11,29978,4.5,10.63,3711,0.481
2021-01-26,Alabama,4347,17738,254959,569000,223854,0.63,5.2,30933,4.57,11.6,3618,0.448
2021-01-27,Alabama,11485,18178,266444,634000,232633,0.68,5.43,33595,4.74,12.93,3707,0.42
2021-01-28,Alabama,12549,16153,278993,655275,241337,0.76,5.69,37431,4.92,13.36,3294,0.426
2021-01-29,Alabama,21922,14514,300915,659400,256601,0.9,6.14,44073,5.23,13.45,2960,0.456
2021-01-30,Alabama,41521,17271,342436,659400,288368,1.1,6.98,53742,5.88,13.45,3522,0.519
2021-01-31,Alabama,11538,15748,353974,659400,298301,1.13,7.22,55331,6.08,13.45,3212,0.537
2021-02-01,Alabama,4306,15381,358280,659400,301628,1.15,7.31,56308,6.15,13.45,3137,0.543
2021-02-02,Alabama,13602,16703,371882,680550,312711,1.2,7.58,58825,6.38,13.88,3407,0.546
2021-02-03,Alabama,16457,17414,388339,765150,324998,1.28,7.92,62990,6.63,15.6,3552,0.508
2021-02-04,Alabama,20089,18491,408428,799675,338845,1.41,8.33,69155,6.91,16.31,3771,0.511
2021-02-05,Alabama,22169,18526,430597,799875,353522,1.56,8.78,76603,7.21,16.31,3778,0.538
2021-02-06,Alabama,24576,16105,455173,804100,370275,1.72,9.28,84278,7.55,16.4,3285,0.566
2021-02-07,Alabama,7159,15480,462332,804100,375567,1.76,9.43,86141,7.66,16.4,3157,0.575
2021-02-08,Alabama,5304,15622,467636,804100,378514,1.8,9.54,88453,7.72,16.4,3186,0.582
2021-02-09,Alabama,23333,17012,490969,823600,395196,1.94,10.01,95033,8.06,16.8,3470,0.596
2021-02-10,Alabama,24833,18209,515802,861175,412462,2.09,10.52,102520,8.41,17.56,3714,0.599
2021-02-11,Alabama,27435,19258,543237,911875,431259,2.26,11.08,111036,8.8,18.6,3928,0.596
2021-02-12,Alabama,27878,20074,571115,936200,448071,2.49,11.65,122019,9.14,19.09,4094,0.61
2021-02-13,Alabama,30044,20855,601159,963600,467032,2.71,12.26,133029,9.52,19.65,4253,0.624
2021-02-14,Alabama,11095,21417,612254,965550,474065,2.8,12.49,137032,9.67,19.69,4368,0.634
2021-02-15,Alabama,12214,22405,NA,NA,NA,NA,NA,NA,NA,NA,4569,NA
2021-02-16,Alabama,12214,20816,636682,1015775,486206,3.04,12.98,149288,9.92,20.72,4245,0.627
2021-02-17,Alabama,13338,19174,650020,1032175,494424,3.15,13.26,154341,10.08,21.05,3911,0.63
2021-02-18,Alabama,22018,18400,672038,1032175,505660,3.37,13.71,165104,10.31,21.05,3753,0.651
2021-02-19,Alabama,67094,24002,739132,1077600,545431,3.92,15.08,192304,11.12,21.98,4895,0.686
2021-02-20,Alabama,37804,25111,776936,1078800,560968,4.38,15.85,214512,11.44,22,5121,0.72
2021-02-21,Alabama,11677,25194,788613,1082100,567505,4.48,16.08,219639,11.57,22.07,5138,0.729
2021-02-22,Alabama,5001,24164,793614,1082100,570355,4.52,16.19,221785,11.63,22.07,4928,0.733
2021-02-23,Alabama,21494,25489,815108,1084440,580477,4.75,16.62,233073,11.84,22.12,5198,0.752
2021-02-24,Alabama,24595,27098,839703,1138650,591009,5.04,17.13,247024,12.05,23.22,5527,0.737
2021-02-25,Alabama,25054,27531,864757,1170120,601343,5.34,17.64,261689,12.26,23.86,5615,0.739
2021-02-26,Alabama,29102,22104,893859,1380380,613097,5.69,18.23,278985,12.5,28.15,4508,0.648
2021-02-27,Alabama,37231,22022,931090,1402180,628583,6.13,18.99,300548,12.82,28.6,4491,0.664
2021-02-28,Alabama,11412,21984,942502,1402280,634792,6.24,19.22,305731,12.95,28.6,4484,0.672
2021-03-01,Alabama,5891,22111,948393,1402280,637989,6.29,19.34,308416,13.01,28.6,4510,0.676
2021-03-02,Alabama,23768,22436,972161,1461320,647752,6.57,19.83,322346,13.21,29.8,4576,0.665
2021-03-03,Alabama,27870,22904,1000031,1469100,658906,6.91,20.4,338967,13.44,29.96,4671,0.681
2021-03-04,Alabama,32140,23916,1032171,1530470,672546,7.29,21.05,357384,13.72,31.21,4878,0.674
2021-03-05,Alabama,32407,24388,1064578,1556460,687445,7.64,21.71,374826,14.02,31.74,4974,0.684
2021-03-06,Alabama,35119,24087,1099697,1628350,703725,8.03,22.43,393619,14.35,33.21,4913,0.675
2021-03-07,Alabama,10435,23947,1110132,1628350,709736,8.12,22.64,398035,14.48,33.21,4884,0.682
2021-01-12,Alaska,NA,NA,35838,141600,22486,0.74,4.9,5400,3.07,19.36,NA,0.253
2021-01-13,Alaska,2842,2842,38680,149475,24541,0.84,5.29,6166,3.36,20.43,3885,0.259
2021-01-14,Alaska,3916,3379,42596,150450,35508,NA,5.82,NA,4.85,20.57,4619,0.283
2021-01-15,Alaska,6443,4400,49039,150450,39546,1.29,6.7,9406,5.41,20.57,6015,0.326
2021-01-16,Alaska,4323,4381,NA,NA,NA,NA,NA,NA,NA,NA,5989,NA
2021-01-17,Alaska,4323,4369,NA,NA,NA,NA,NA,NA,NA,NA,5972,NA
2021-01-18,Alaska,4323,4362,NA,NA,NA,NA,NA,NA,NA,NA,5963,NA
2021-01-19,Alaska,4323,4356,66331,150450,55434,1.48,9.07,10802,7.58,20.57,5955,0.441
2021-01-20,Alaska,1962,4230,68293,150350,56911,1.54,9.34,11283,7.78,20.55,5782,0.454
2021-01-21,Alaska,3614,4187,71907,154325,59449,1.69,9.83,12352,8.13,21.1,5724,0.466
2021-01-22,Alaska,9189,4580,81096,155500,67262,1.88,11.09,13718,9.2,21.26,6261,0.522
2021-01-23,Alaska,7248,4997,88344,155700,73014,2.08,12.08,15206,9.98,21.28,6831,0.567
2021-01-24,Alaska,5913,5225,94257,155700,77925,2.22,12.88,16201,10.65,21.28,7142,0.605
2021-01-25,Alaska,2774,5003,97031,155700,80226,2.28,13.26,16673,10.97,21.28,6839,0.623
2021-01-26,Alaska,1118,4545,98149,162925,81200,2.3,13.42,16815,11.1,22.27,6213,0.602
2021-01-27,Alaska,3448,4758,101597,170575,83363,2.47,13.89,18097,11.4,23.32,6504,0.596
2021-01-28,Alaska,4261,4850,105858,178075,85672,2.74,14.47,20045,11.71,24.34,6630,0.594
2021-01-29,Alaska,4538,4186,110396,192350,88654,2.95,15.09,21593,12.12,26.29,5722,0.574
2021-01-30,Alaska,4872,3846,115268,193150,91794,3.19,15.76,23320,12.55,26.4,5257,0.597
2021-01-31,Alaska,4322,3619,119590,193150,94889,3.36,16.35,24545,12.97,26.4,4947,0.619
2021-02-01,Alaska,2430,3570,122020,193150,96396,3.48,16.68,25467,13.18,26.4,4880,0.632
2021-02-02,Alaska,1423,3613,123443,196975,97076,3.58,16.87,26207,13.27,26.93,4939,0.627
2021-02-03,Alaska,2322,3453,125765,229975,98076,3.76,17.19,27528,13.41,31.44,4720,0.547
2021-02-04,Alaska,4171,3440,129936,240325,99596,4.12,17.76,30172,13.61,32.85,4702,0.541
2021-02-05,Alaska,4066,3372,134002,245700,101225,4.46,18.32,32593,13.84,33.59,4609,0.545
2021-02-06,Alaska,5145,3411,139147,248500,103163,4.89,19.02,35773,14.1,33.97,4663,0.56
2021-02-07,Alaska,6935,3785,146082,248500,106311,5.4,19.97,39541,14.53,33.97,5174,0.588
2021-02-08,Alaska,4852,4131,150934,248500,109890,5.58,20.63,40812,15.02,33.97,5647,0.607
2021-02-09,Alaska,1940,4204,152874,256900,110936,5.7,20.9,41698,15.16,35.12,5747,0.595
2021-02-10,Alaska,3381,4356,156255,260300,112448,5.95,21.36,43552,15.37,35.58,5955,0.6
2021-02-11,Alaska,6018,4620,162273,270250,116001,6.29,22.18,46006,15.86,36.94,6315,0.6
2021-02-12,Alaska,5163,4776,167436,271350,118189,6.69,22.89,48969,16.16,37.09,6529,0.617
2021-02-13,Alaska,7702,5142,175138,271550,122463,7.16,23.94,52380,16.74,37.12,7029,0.645
2021-02-14,Alaska,8693,5393,183831,271550,126381,7.81,25.13,57117,17.28,37.12,7372,0.677
2021-02-15,Alaska,3588.5,5212,NA,NA,NA,NA,NA,NA,NA,NA,7125,NA
2021-02-16,Alaska,3588.5,5448,191008,271550,129658,8.33,26.11,60964,17.72,37.12,7447,0.703
2021-02-17,Alaska,2609,5337,193617,271550,130751,8.54,26.47,62474,17.87,37.12,7296,0.713
2021-02-18,Alaska,5534,5268,199151,271550,133491,8.92,27.22,65245,18.25,37.12,7201,0.733
2021-02-19,Alaska,17072,6970,216223,299935,143887,9.83,29.56,71892,19.67,41,9528,0.721
2021-02-20,Alaska,11180,7466,227403,299935,148299,10.75,31.08,78623,20.27,41,10206,0.758
2021-02-21,Alaska,7738,7330,235141,299935,152349,11.25,32.14,82272,20.83,41,10020,0.784
2021-02-22,Alaska,3138,7266,238279,299935,153349,11.54,32.57,84385,20.96,41,9932,0.794
2021-02-23,Alaska,1648,6988,239927,304875,154392,11.62,32.8,84984,21.1,41.68,9552,0.787
2021-02-24,Alaska,3723,7148,243650,315765,156027,11.9,33.31,87061,21.33,43.16,9771,0.772
2021-02-25,Alaska,5909,7201,249559,319265,158560,12.36,34.11,90416,21.68,43.64,9844,0.782
2021-02-26,Alaska,4775,5444,254334,332415,161333,12.63,34.77,92407,22.05,45.44,7442,0.765
2021-02-27,Alaska,5204,4591,259538,342535,163443,13.05,35.48,95485,22.34,46.82,6276,0.758
2021-02-28,Alaska,5203,4229,264741,342535,166432,13.35,36.19,97692,22.75,46.82,5781,0.773
2021-03-01,Alaska,3665,4304,268406,342535,167759,13.67,36.69,100024,22.93,46.82,5883,0.784
2021-03-02,Alaska,1535,4288,269941,372725,168315,13.81,36.9,101000,23.01,50.95,5862,0.724
2021-03-03,Alaska,3409,4243,273350,399225,170243,14.01,37.37,102472,23.27,54.57,5800,0.685
2021-03-04,Alaska,3541,3905,276891,409125,172050,14.24,37.85,104193,23.52,55.93,5338,0.677
2021-03-05,Alaska,4576,3876,281467,421375,174208,14.57,38.48,106597,23.81,57.6,5298,0.668
2021-03-06,Alaska,7158,4155,288625,426715,177865,15.05,39.45,110078,24.31,58.33,5680,0.676
2021-03-07,Alaska,6421,4329,295046,426715,180563,15.56,40.33,113792,24.68,58.33,5918,0.691
2021-01-12,American Samoa,NA,NA,2124,10650,842,0.47,3.81,260,1.51,19.12,NA,0.199
2021-01-13,American Samoa,453,453,2577,10650,1193,0.65,4.63,362,2.14,19.12,8134,0.242
2021-01-14,American Samoa,394,424,2971,10650,2409,NA,5.34,NA,4.33,19.12,7614,0.279
2021-01-15,American Samoa,912,586,3883,18450,3144,1.32,6.97,738,5.65,33.13,10523,0.21
2021-01-16,American Samoa,218.25,494,NA,NA,NA,NA,NA,NA,NA,NA,8871,NA
2021-01-17,American Samoa,218.25,439,NA,NA,NA,NA,NA,NA,NA,NA,7883,NA
2021-01-18,American Samoa,218.25,402,NA,NA,NA,NA,NA,NA,NA,NA,7219,NA
2021-01-19,American Samoa,218.25,376,4756,18450,3985,1.38,8.54,770,7.16,33.13,6752,0.258
2021-01-20,American Samoa,557,391,5313,18450,4476,1.5,9.54,836,8.04,33.13,7021,0.288
2021-01-21,American Samoa,351,385,5664,18450,4734,1.67,10.17,929,8.5,33.13,6913,0.307
2021-01-22,American Samoa,905,384,6569,18450,5627,1.69,11.8,940,10.1,33.13,6895,0.356
2021-01-23,American Samoa,262,390,6831,18450,5881,1.7,12.27,948,10.56,33.13,7003,0.37
2021-01-24,American Samoa,1215,532,8046,18450,7096,1.7,14.45,948,12.74,33.13,9553,0.436
2021-01-25,American Samoa,0,501,8046,18450,7096,1.7,14.45,948,12.74,33.13,8996,0.436
2021-01-26,American Samoa,269,508,8315,18450,7365,1.7,14.93,948,13.23,33.13,9122,0.451
2021-01-27,American Samoa,770,539,9085,18450,8133,1.71,16.31,950,14.6,33.13,9679,0.492
2021-01-28,American Samoa,0,489,9085,18450,8133,1.71,16.31,950,14.6,33.13,8781,0.492
2021-01-29,American Samoa,840,479,9925,18450,8926,1.79,17.82,997,16.03,33.13,8601,0.538
2021-01-30,American Samoa,0,442,9925,18450,8926,1.79,17.82,997,16.03,33.13,7937,0.538
2021-01-31,American Samoa,0,268,9925,18450,8926,1.79,17.82,997,16.03,33.13,4812,0.538
2021-02-01,American Samoa,836,388,10761,18450,9713,1.88,19.32,1046,17.44,33.13,6967,0.583
2021-02-02,American Samoa,0,349,10761,18450,9713,1.88,19.32,1046,17.44,33.13,6267,0.583
2021-02-03,American Samoa,305,283,11066,18450,9759,2.34,19.87,1305,17.52,33.13,5082,0.6
2021-02-04,American Samoa,191,310,11257,29450,9761,2.68,20.21,1494,17.53,52.88,5567,0.382
2021-02-05,American Samoa,772,301,12029,29450,9775,4.04,21.6,2252,17.55,52.88,5405,0.408
2021-02-06,American Samoa,230,333,12259,29450,9779,4.45,22.01,2478,17.56,52.88,5980,0.416
2021-02-07,American Samoa,0,333,12259,29450,9779,4.45,22.01,2478,17.56,52.88,5980,0.416
2021-02-08,American Samoa,0,214,12259,29450,9779,4.45,22.01,2478,17.56,52.88,3843,0.416
2021-02-09,American Samoa,421,274,12680,29450,9792,5.18,22.77,2885,17.58,52.88,4920,0.431
2021-02-10,American Samoa,638,322,13318,29450,9818,6.27,23.92,3494,17.63,52.88,5782,0.452
2021-02-11,American Samoa,195,322,13513,29450,9822,6.62,24.26,3685,17.64,52.88,5782,0.459
2021-02-12,American Samoa,1519,429,15032,29450,10057,8.92,26.99,4968,18.06,52.88,7703,0.51
2021-02-13,American Samoa,350,446,15382,29450,10062,9.53,27.62,5308,18.07,52.88,8009,0.522
2021-02-14,American Samoa,0,446,15382,29450,10062,9.53,27.62,5308,18.07,52.88,8009,0.522
2021-02-15,American Samoa,363.5,498,NA,NA,NA,NA,NA,NA,NA,NA,8943,NA
2021-02-16,American Samoa,363.5,490,16109,29450,10236,10.52,28.93,5860,18.38,52.88,8799,0.547
2021-02-17,American Samoa,160,422,16269,29450,10267,10.75,29.21,5989,18.44,52.88,7578,0.552
2021-02-18,American Samoa,0,394,16269,29450,10267,10.75,29.21,5989,18.44,52.88,7075,0.552
2021-02-19,American Samoa,0,177,16269,29450,10267,10.75,29.21,5989,18.44,52.88,3178,0.552
2021-02-20,American Samoa,1471,337,17740,29450,10831,12.38,31.86,6893,19.45,52.88,6051,0.602
2021-02-21,American Samoa,1038,485,18778,29450,10948,14.03,33.72,7811,19.66,52.88,8709,0.638
2021-02-22,American Samoa,38,439,18816,29450,10978,14.04,33.79,7818,19.71,52.88,7883,0.639
2021-02-23,American Samoa,0,387,18816,29450,10978,14.04,33.79,7818,19.71,52.88,6949,0.639
2021-02-24,American Samoa,923,496,19739,29450,11738,14.33,35.44,7979,21.08,52.88,8907,0.67
2021-02-25,American Samoa,0,496,19739,29450,11738,14.33,35.44,7979,21.08,52.88,8907,0.67
2021-02-26,American Samoa,597,581,20336,29450,12275,14.43,36.52,8037,22.04,52.88,10433,0.691
2021-02-27,American Samoa,2,371,20338,29450,12276,14.43,36.52,8037,22.04,52.88,6662,0.691
2021-02-28,American Samoa,0,223,20338,29450,12276,14.43,36.52,8037,22.04,52.88,4004,0.691
2021-03-01,American Samoa,0,217,20338,29450,12276,14.43,36.52,8037,22.04,52.88,3897,0.691
2021-03-02,American Samoa,741,323,21079,29450,12949,14.54,37.85,8099,23.25,52.88,5800,0.716
2021-03-03,American Samoa,0,191,21079,29450,12949,14.54,37.85,8099,23.25,52.88,3430,0.716
2021-03-04,American Samoa,546,269,21625,38810,13386,14.74,38.83,8208,24.04,69.69,4830,0.557
2021-03-05,American Samoa,0,184,21625,43210,13386,14.74,38.83,8208,24.04,77.59,3304,0.5
2021-03-06,American Samoa,0,184,21625,43210,13386,14.74,38.83,8208,24.04,77.59,3304,0.5
2021-03-07,American Samoa,0,184,21625,43210,13386,14.74,38.83,8208,24.04,77.59,3304,0.5
2021-01-12,Arizona,NA,NA,141355,563025,95141,0.12,1.94,8343,1.31,7.74,NA,0.251
2021-01-13,Arizona,13390,13390,154745,569525,104387,0.17,2.13,12392,1.43,7.82,1840,0.272
2021-01-14,Arizona,18920,16155,173665,570625,157397,NA,2.39,NA,2.16,7.84,2219,0.304
2021-01-15,Arizona,23421,18577,197086,571725,176213,0.29,2.71,20837,2.42,7.86,2552,0.345
2021-01-16,Arizona,17297.5,18257,NA,NA,NA,NA,NA,NA,NA,NA,2508,NA
2021-01-17,Arizona,17297.5,18065,NA,NA,NA,NA,NA,NA,NA,NA,2482,NA
2021-01-18,Arizona,17297.5,17937,NA,NA,NA,NA,NA,NA,NA,NA,2464,NA
2021-01-19,Arizona,17297.5,17846,266276,571725,235331,0.42,3.66,30892,3.23,7.86,2452,0.466
2021-01-20,Arizona,15611,18163,281887,752250,246960,0.48,3.87,34788,3.39,10.34,2495,0.375
2021-01-21,Arizona,22012,18605,303899,797550,262120,0.57,4.18,41613,3.6,10.96,2556,0.381
2021-01-22,Arizona,25450,18895,329349,822050,280227,0.67,4.52,48938,3.85,11.29,2596,0.401
2021-01-23,Arizona,31609,20939,360958,829500,305744,0.76,4.96,55014,4.2,11.4,2877,0.435
2021-01-24,Arizona,29665,22706,390623,829500,332095,0.8,5.37,58291,4.56,11.4,3120,0.471
2021-01-25,Arizona,23039,23526,413662,829500,350648,0.86,5.68,62711,4.82,11.4,3232,0.499
2021-01-26,Arizona,17230,23517,430892,837200,366018,0.89,5.92,64551,5.03,11.5,3231,0.515
2021-01-27,Arizona,27366,25196,458258,990000,389059,0.95,6.3,68846,5.34,13.6,3462,0.463
2021-01-28,Arizona,28891,26179,487149,1011375,412841,1.02,6.69,73927,5.67,13.9,3597,0.482
2021-01-29,Arizona,33948,27393,521097,1012275,439897,1.11,7.16,80773,6.04,13.91,3763,0.515
2021-01-30,Arizona,36272,28059,557369,1013375,469916,1.2,7.66,86990,6.46,13.92,3855,0.55
2021-01-31,Arizona,36735,29069,594104,1013375,500942,1.27,8.16,92666,6.88,13.92,3994,0.586
2021-02-01,Arizona,26504,29564,620608,1013375,524413,1.31,8.53,95671,7.2,13.92,4062,0.612
2021-02-02,Arizona,11054,28681,631662,1082050,534476,1.33,8.68,96660,7.34,14.87,3940,0.584
2021-02-03,Arizona,24378,28255,656040,1181000,553373,1.4,9.01,102107,7.6,16.23,3882,0.555
2021-02-04,Arizona,30076,28424,686116,1185700,573845,1.53,9.43,111645,7.88,16.29,3905,0.579
2021-02-05,Arizona,33342,28337,719458,1186000,597525,1.67,9.88,121227,8.21,16.29,3893,0.607
2021-02-06,Arizona,47330,29917,766788,1186000,629750,1.87,10.54,136236,8.65,16.29,4110,0.647
2021-02-07,Arizona,42442,30732,809230,1186000,656909,2.08,11.12,151392,9.02,16.29,4222,0.682
2021-02-08,Arizona,31788,31487,841018,1186000,678697,2.22,11.55,161324,9.32,16.29,4326,0.709
2021-02-09,Arizona,22789,33164,863807,1265950,695970,2.29,11.87,166798,9.56,17.39,4556,0.682
2021-02-10,Arizona,33950,34531,897757,1370175,719051,2.44,12.33,177565,9.88,18.82,4744,0.655
2021-02-11,Arizona,43818,36494,941575,1391475,747599,2.64,12.94,192542,10.27,19.12,5014,0.677
2021-02-12,Arizona,48721,38691,990296,1393475,780057,2.86,13.6,207912,10.72,19.14,5316,0.711
2021-02-13,Arizona,50725,39176,1041021,1393475,811080,3.11,14.3,226158,11.14,19.14,5382,0.747
2021-02-14,Arizona,48134,39989,1089155,1393575,840252,3.37,14.96,244971,11.54,19.15,5494,0.782
2021-02-15,Arizona,32714,40122,NA,NA,NA,NA,NA,NA,NA,NA,5512,NA
2021-02-16,Arizona,32714,41539,1154583,1396475,886107,3.63,15.86,264416,12.17,19.19,5707,0.827
2021-02-17,Arizona,10317,38163,1164900,1396475,892791,3.68,16,267967,12.27,19.19,5243,0.834
2021-02-18,Arizona,37870,37314,1202770,1396475,914468,3.9,16.52,283955,12.56,19.19,5126,0.861
2021-02-19,Arizona,173635,55158,1376405,1679175,1036237,4.61,18.91,335248,14.24,23.07,7578,0.82
2021-02-20,Arizona,48890,54896,1425295,1688255,1064109,4.89,19.58,356055,14.62,23.19,7542,0.844
2021-02-21,Arizona,44381,54360,1469676,1688255,1087921,5.17,20.19,376371,14.95,23.19,7468,0.871
2021-02-22,Arizona,36896,54958,1506572,1688255,1108935,5.39,20.7,392139,15.24,23.19,7551,0.892
2021-02-23,Arizona,19222,53030,1525794,1755635,1121773,5.47,20.96,398472,15.41,24.12,7286,0.869
2021-02-24,Arizona,30148,55863,1555942,1977925,1137371,5.67,21.38,412825,15.63,27.17,7675,0.787
2021-02-25,Arizona,51602,57825,1607544,2064265,1163157,6.02,22.09,438355,15.98,28.36,7944,0.779
2021-02-26,Arizona,63750,42127,1671294,2143135,1196045,6.44,22.96,468913,16.43,29.44,5788,0.78
2021-02-27,Arizona,56945,43278,1728239,2148015,1223520,6.84,23.74,498106,16.81,29.51,5946,0.805
2021-02-28,Arizona,64208,46110,1792447,2148015,1250251,7.35,24.63,535189,17.18,29.51,6335,0.834
2021-03-01,Arizona,56812,48955,1849259,2148015,1275068,7.78,25.41,566500,17.52,29.51,6726,0.861
2021-03-02,Arizona,40483,51993,1889742,2244885,1293835,8.07,25.96,587451,17.78,30.84,7143,0.842
2021-03-03,Arizona,41257,53580,1930999,2392275,1308334,8.43,26.53,613681,17.97,32.87,7361,0.807
2021-03-04,Arizona,48930,53198,1979929,2453985,1329996,8.79,27.2,640078,18.27,33.72,7309,0.807
2021-03-05,Arizona,58694,52476,2038623,2598435,1356443,9.23,28.01,671617,18.64,35.7,7210,0.785
2021-03-06,Arizona,5116,45071,2043739,2623735,1358649,9.27,28.08,674523,18.67,36.05,6192,0.779
2021-03-07,Arizona,118863,52879,2162602,2623735,1421436,10.03,29.71,729803,19.53,36.05,7265,0.824
2021-01-12,Arkansas,NA,NA,40879,274400,39357,0,1.36,8,1.3,9.09,NA,0.149
2021-01-13,Arkansas,53975,53975,94854,297800,80458,0.43,3.14,12849,2.67,9.87,17886,0.319
2021-01-14,Arkansas,13462,33718,108316,297800,90339,NA,3.59,NA,2.99,9.87,11173,0.364
2021-01-15,Arkansas,10022,25820,118338,297800,97829,0.62,3.92,18781,3.24,9.87,8556,0.397
2021-01-16,Arkansas,5999.75,20865,NA,NA,NA,NA,NA,NA,NA,NA,6914,NA
2021-01-17,Arkansas,5999.75,17892,NA,NA,NA,NA,NA,NA,NA,NA,5929,NA
2021-01-18,Arkansas,5999.75,15910,NA,NA,NA,NA,NA,NA,NA,NA,5272,NA
2021-01-19,Arkansas,5999.75,14494,142337,297800,118763,0.72,4.72,21734,3.94,9.87,4803,0.478
2021-01-20,Arkansas,30975,11208,173312,334825,144792,0.88,5.74,26541,4.8,11.1,3714,0.518
2021-01-21,Arkansas,0,9285,173312,361550,144792,0.88,5.74,26541,4.8,11.98,3077,0.479
2021-01-22,Arkansas,28364,11905,201676,362050,167788,1.05,6.68,31600,5.56,12,3945,0.557
2021-01-23,Arkansas,0,11048,201676,368650,167788,1.05,6.68,31600,5.56,12.22,3661,0.547
2021-01-24,Arkansas,12564,11986,214240,368650,179290,1.08,7.1,32572,5.94,12.22,3972,0.581
2021-01-25,Arkansas,6855,12108,221095,368650,185546,1.1,7.33,33159,6.15,12.22,4012,0.6
2021-01-26,Arkansas,15195,13422,236290,394775,196815,1.23,7.83,37055,6.52,13.08,4448,0.599
2021-01-27,Arkansas,16534,11359,252824,406175,209445,1.36,8.38,40910,6.94,13.46,3764,0.622
2021-01-28,Arkansas,0,11359,252824,453300,209445,1.36,8.38,40910,6.94,15.02,3764,0.558
2021-01-29,Arkansas,17169,9760,269993,453500,221552,1.52,8.95,45918,7.34,15.03,3234,0.595
2021-01-30,Arkansas,18658,12425,288651,453700,233935,1.73,9.56,52118,7.75,15.03,4117,0.636
2021-01-31,Arkansas,15142,12793,303793,453700,244867,1.86,10.07,56264,8.11,15.03,4239,0.67
2021-02-01,Arkansas,7437,12876,311230,453700,249943,1.94,10.31,58613,8.28,15.03,4267,0.686
2021-02-02,Arkansas,3240,11169,314470,467800,251841,1.98,10.42,59903,8.34,15.5,3701,0.672
2021-02-03,Arkansas,7977,9946,322447,499325,256307,2.1,10.68,63356,8.49,16.55,3296,0.646
2021-02-04,Arkansas,15780,12200,338227,516925,266563,2.28,11.21,68778,8.83,17.13,4043,0.654
2021-02-05,Arkansas,12948,11597,351175,535550,274459,2.45,11.64,73810,9.1,17.75,3843,0.656
2021-02-06,Arkansas,23499,12289,374674,540050,290153,2.7,12.42,81564,9.62,17.9,4072,0.694
2021-02-07,Arkansas,18771,12807,393445,540050,300139,2.99,13.04,90308,9.95,17.9,4244,0.729
2021-02-08,Arkansas,8219,12919,401664,540050,304604,3.12,13.31,94058,10.09,17.9,4281,0.744
2021-02-09,Arkansas,2463,12808,404127,580775,305917,3.16,13.39,95202,10.14,19.24,4244,0.696
2021-02-10,Arkansas,13927,13658,418054,581875,311339,3.44,13.85,103669,10.32,19.28,4526,0.718
2021-02-11,Arkansas,12749,13225,430803,593775,316972,3.67,14.27,110751,10.5,19.68,4382,0.726
2021-02-12,Arkansas,16343,13710,447146,629900,325562,3.93,14.82,118465,10.79,20.87,4543,0.71
2021-02-13,Arkansas,10240,11816,457386,630700,330146,4.11,15.16,124040,10.94,20.9,3915,0.725
2021-02-14,Arkansas,15150,11299,472536,630700,338611,4.33,15.66,130637,11.22,20.9,3744,0.749
2021-02-15,Arkansas,5451,10903,NA,NA,NA,NA,NA,NA,NA,NA,3613,NA
2021-02-16,Arkansas,5451,11330,483438,631675,343637,4.52,16.02,136415,11.39,20.93,3754,0.765
2021-02-17,Arkansas,3511,9842,486949,649225,345271,4.58,16.14,138254,11.44,21.51,3261,0.75
2021-02-18,Arkansas,3788,8562,490737,664225,346623,4.66,16.26,140662,11.49,22.01,2837,0.739
2021-02-19,Arkansas,26534,10018,517271,691525,362972,5,17.14,150812,12.03,22.92,3320,0.748
2021-02-20,Arkansas,3633,9074,520904,691525,364735,5.06,17.26,152675,12.09,22.92,3007,0.753
2021-02-21,Arkansas,7563,7990,528467,691525,367436,5.22,17.51,157511,12.18,22.92,2648,0.764
